"1","20","450"
"2","20","430"
"3","20","420"
"4","30","400"
"5","30","380"
"6","30","380"
"7","40","380"
"8","50","400"
"9","50","420"
"10","60","440"
"11","60","480"
"12","60","520"
"13","60","580"
"14","70","600"
"15","80","620"
"16","80","640"
"17","80","690"
"18","80","700"
"19","80","720"
"20","90","750"
"21","100","800"
"22","110","800"
"23","120","800"
"24","130","600"
"25","140","400"
"26","200","300"
"27","220","200"
"28","240","200"
"29","260","200"
"30","280","180"
"31","300","180"
"32","350","180"
